office,address,phone,lon,lat,region
Berlin,Tucholskystraße 2 10117 Berlin Germany,+49 30 303986300,13.39203120000002,52.5231079,europe
Brussels,Chaussee d'Etterbeek 180 1040 Brussels Belgium,,4.380984,50.839315,europe
Copenhagen,Skt. Petri Passage 5 1165 Copenhagen Denmark,+45 3370 2600,12.570071,55.680452,europe
Dublin,Gordon House Barrow St Dublin 4 Ireland,,-6.2360967,53.3399526,europe
Hamburg,ABC-Strasse 19 20354 Hamburg Germany,49 40-80-81-79-000,9.986229,53.553752,europe
Lisbon,"Avenida da Liberdade, 110 Lisbon, 1269-046, Portugal",+351 21 122 1803,-9.143781,38.718887,europe
London - 6PS,6 Pancras Square London N1C 4AG United Kingdom,+44-20-7031-3000,-0.126026,51.533311,europe
London - BEL,Belgrave House 76 Buckingham Palace Road London SW1W 9TQ United Kingdom,+44-20-7031-3001,-0.146652,51.494961,europe
London - CSG,1-13 St Giles High St London WC2H 8AG United Kingdom,+44 (0)20-7031-3000,-0.12755,51.516027,europe
Madrid,"Plaza Pablo Ruiz Picasso, I Madrid 28020 Spain",+34 91-748-6400,-3.6931161,40.4505331,europe
Milan,"Porta Nuova Isola, Building C, Via Federico Confalonieri 4 20124 Milan Italy",,9.189546,45.486147,europe
Moscow,7 Balchug St Moscow 115035 Russia,+7-495-644-1400,37.626435,55.746747,europe
Munich,Erika-Mann-Str. 33 80636 Munich Germany,,11.54083333,48.14305556,europe
Oslo,Aker Brygge Bryggegata 6 0250 Oslo Norway,,10.72598,59.90987,europe
Paris,8 Rue de Londres 75009 Paris France,,2.33,48.8771,europe
Prague,"Stroupeznickeho str. 3191/17 Prague, Czech Republic 150 00",,14.402642,50.070259,europe
Stockholm,Kungsbron 2  111 22 Stockholm Sweden,,18.054619,59.333432,europe
Vienna,Graben 19 1010 Wien Austria,,16.368419,48.209351,europe
Warsaw,Emilii Plater 53 00-113 Warsaw Poland,+48 22 207 19 00,21.001668,52.233448,europe
Wroclaw,Gen. Jozefa Bema nr 2 50-265 Wroclaw Poland,+48 (71) 73 41 000,17.041737,51.117687,europe
Zurich,Brandschenkestrasse 110 8002 Zürich Switzerland,+41 44 668 18 00,8.524425,47.365063,europe
Bangalore,"No. 3, RMZ Infinity - Tower E Old Madras Road 4th and 5th Floors Bangalore, 560 016, India",+91-80-67218000,77.660176,12.99332,asia-pacific
Bangkok,"57 Park Ventures Ecoplex 14th Floor, Wireless Road Bangkok, 10330, Thailand",,100.547983,13.742866,asia-pacific
Beijing,"6th Floor, Tower B, Raycom InfoTech Park  No. 2 Kexueyuan South Road  Zhongguancun Beijing 100190",+86-10-62503000,116.3265708,39.9848878,asia-pacific
Guangzhou,"Taikoo Hui Tower 1, No.383 Tianhe Road Guangzhou, 510620 China",,113.3332488,23.1339728,asia-pacific
Gurgaon,"Sector 15, Part II Village Silokhera Gurgaon 122001 India",+91-12-44512900,77.048194,28.460581,asia-pacific
Hong Kong,"1 Matheson Street Causeway Bay, Hong Kong",+852-3923-5400,114.18176,22.278203,asia-pacific
Hyderabad,"Survey No. 13, DivyaSree Omega Kondapur Village Hyderabad, Telangana 500084 India",+91-40-6619-3000,78.372452,17.458461,asia-pacific
Jakarta,"Pacific Century Place Tower Level 45 SCBD Lot 10, Jl. Jend. Sudirman No.53, RT.5/RW.3, Senayan, Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190,  Indonesia",,106.808471,-6.227664,asia-pacific
Kuala Lumpur,"Axiata Tower No. 9, Jalan Stesen Sentral 5 50470 Kuala Lumpur Malaysia",,101.684609,3.133445,asia-pacific
Melbourne,"161 Collins Street, Melbourne VIC 3000, Australia",,144.968737,-37.815328,asia-pacific
Mumbai,"3 North Avenue Maker Maxity, Bandra Kurla Complex Bandra East Mumbai, Maharashtra 400051 India",+91-22-6611-7150,72.850591,19.054364,asia-pacific
Seoul,"Google Korea LLC. 22nd Floor, Gangnam Finance Center 152 Teheran-ro, Gangnam-gu Seoul 06236 South Korea",+82-2-531-9000,127.036843,37.500295,asia-pacific
Shanghai,"100 Century Avenue, Pudong Shanghai 200120 China",+86-21-6133-7666,121.507662,31.23464,asia-pacific
Singapore,"70 Pasir Panjang Road, #03-71,  Mapletree Business City  Singapore 117371",+65 6521-8000,103.798965,1.276466,asia-pacific
Sydney,"48 Pirrama Road Sydney, NSW 2009 Australia",+61 2 9374 4000,151.195672,-33.866638,asia-pacific
Taipei,"No. 7 XinYi Road Section 5, Taipei Taiwan",+886 2 8729 6000,121.564901,25.033447,asia-pacific
Tokyo,"Roppongi Hills Mori Tower 6-10-1 Roppongi Minato-ku, Tokyo 106-6126 Japan",+81-3-6384-9000,139.729231,35.66047,asia-pacific
Dubai,"TECOM Zone, Dubai Internet City Dubai, United Arab Emirates",+971 4 4509500,55.1591,25.0929,africa-middle-east
Haifa,"Building 30 MATAM, Advanced Technology Center Haifa, 3190500 Israel",+972-74-746-6245,34.958432,32.78897,africa-middle-east
Istanbul,"Eski Buyukdere Caddesi No: 209 34394 Istanbul, Turkey",,29.00859,41.081697,africa-middle-east
Johannesburg,"35 Ballyclare Drive Building E Johannesburg 2191, South Africa",,28.032035,-26.0734457,africa-middle-east
Tel Aviv,"Yigal Alon 98 Tel Aviv, 6789141 Israel",+972-74-746-6453,34.794087,32.070043,africa-middle-east
